warehouse_size,daily_orders,item_types,workers,shift_type,wms_implemented,agv_implemented,season,day_of_week,processing_time,picking_accuracy,error_rate,labor_cost_per_order
21854.30534813131,910,3872,30,3,1,0,3,5,377.83384509332336,97.30230418745873,2.7095609329882424,1000.0
13253.202943404522,509,3485,31,1,1,0,3,7,101.63024308514494,92.77277948864248,3.732824384460777,1105.1865059453373
13985.320197126188,616,1367,73,1,0,1,1,1,63.19694181792715,89.12491875062017,3.489223902662201,2585.5184106973434
27282.96095500716,992,134,87,1,0,1,2,6,204.2527603714828,93.58091917284695,4.369233289997705,2058.9704309175663
8982.162592336377,776,1375,71,1,1,0,1,2,156.79684862451026,96.25730631679293,2.5782900383203575,1573.234204517912
5703.638303353727,570,2127,17,3,1,1,3,3,125.5484278983469,99.07236287244636,1.9111339393646725,1000.0
19633.249491203616,148,2831,95,3,1,0,3,6,26.535460642845166,97.20836705200777,2.6925621202913446,13004.284058082303
24770.142583959656,740,963,61,1,1,1,3,7,99.16796545160608,98.44518934517906,2.2507241657624024,2062.8771102497976
44215.7265584473,77,3727,93,2,1,0,3,4,42.568354988150936,94.23270608912317,2.3253050133834954,23646.30776316012
12409.513391432378,460,4844,71,1,1,0,4,7,52.58232905860097,93.29051495480479,2.6686308433108934,3013.7201183683223
16426.19362704551,317,3681,48,2,1,0,4,1,55.92608925189326,94.74750474445646,3.71675774364496,3561.2880214670813
28892.056249271136,779,1833,41,3,1,1,3,1,143.64259123176262,99.5,1.5047318374346559,1000.0
6834.881369964376,709,2911,68,3,1,1,4,7,89.17982319393658,97.25592720621617,1.6083733538318814,1565.3444182018168
46611.21282253532,347,362,25,2,1,0,1,2,107.07981457709734,95.45726258677777,3.4824052911642176,1000.0
43099.75140072376,453,3291,42,3,1,1,4,4,55.03849997039389,99.5,1.9285045326462367,1000.0
25179.08643438113,730,4167,42,1,1,0,4,7,182.16720004788178,98.31478465535045,4.13667257900874,1224.1722567354575
16270.781837251287,719,3536,60,2,1,0,1,6,120.42327127166743,98.5160867114132,2.9976520026632203,1000.0
30740.18896441324,241,3220,26,2,1,1,3,4,34.585854126232704,99.5,2.5227855841731586,1770.8378573902557
19261.490232032495,177,2165,34,2,1,1,4,6,19.011080091519084,97.57318932582892,2.1788936801741414,3738.019381828186
36365.708344787054,860,4441,57,3,0,1,3,2,240.66196472943778,99.5,4.665440663986042,1985.3803750194977
40810.67012462455,932,1266,75,3,1,0,2,7,170.95281922633927,96.78693095541297,3.177209792559831,1000.0
19699.30588082184,313,3224,69,1,1,1,4,4,71.72495441437485,97.78229070563468,1.3460428501653126,2972.7513434221805
38481.918934960195,395,840,99,1,0,0,4,5,20.30811168422179,83.9706128076877,5.091927757204779,6554.771352359544
28251.3315841955,753,1570,78,2,1,0,2,3,137.70855387995232,99.5,1.3793663299654637,1559.5193267432137
12794.084145950683,783,4552,32,2,1,1,2,4,233.99309866761772,95.69241354646168,1.8987712370842245,1000.0
31359.90115730585,524,951,33,2,1,0,1,3,137.75620475364397,98.40872695135779,2.4275257399642993,1555.2000431968154
17328.25072945102,61,3473,11,1,0,1,1,2,52.47251311510836,88.6064107540651,3.705317621527894,4482.17809769084
10317.41724297453,550,1616,84,1,0,0,1,1,26.824778910341813,89.1686990158449,5.935211948907758,4662.190334366275
37924.14898848381,597,2243,33,3,1,1,1,7,105.86553064519333,99.5,1.738405953206445,1469.5463682623586
45298.54528232902,226,495,70,1,1,0,4,6,14.861506799896642,99.5,3.561770890845758,7266.29285954367
14572.755276090304,614,3322,25,1,0,1,2,7,188.40223720413542,95.02587974900466,4.04503629349083,1000.0
42731.634369379324,223,1291,51,1,1,1,1,5,10.0,95.77760867687033,1.6678862783477886,4796.647611375207
8757.532251440094,494,3023,63,3,1,1,3,6,29.32258115434384,99.5,2.161359280169045,1881.9310869282922
38572.01956694405,397,4385,72,1,0,0,1,6,31.93053891743909,86.79727997748742,4.915964605397235,4676.592700108202
36293.50053979914,490,1356,58,2,0,1,2,6,61.25126972697135,87.89490006897651,3.5622191059840196,2545.841139327795
20104.702915863345,171,4285,17,2,0,0,1,1,70.98254401993597,80.019647738331,5.863873813717129,1739.0794347512178
17193.093913180845,958,1681,44,1,1,0,1,7,239.3218374544103,98.11147539483387,3.6997983239263665,1000.0
26616.65368398596,288,4258,98,2,1,0,1,2,54.76179325051766,99.5,3.0832147679015804,7209.3333713582715
37675.43798323316,763,4278,26,1,1,0,3,5,237.80473939851814,96.60647542992561,2.232942914632189,1320.358725497092
10110.091648983307,203,349,43,2,1,0,4,1,52.628218213765635,99.5,2.4898083763689227,4101.905983005969
6295.220434100253,256,1352,94,2,1,0,2,4,31.95764443278349,95.72105346823243,2.56570903147615,7401.955490060379
37687.866469260276,298,4361,97,3,1,1,3,1,37.20089664753864,99.5,0.9662789499800617,5814.5003829281695
33503.038444252656,801,4142,32,3,1,0,4,4,308.82488176061946,91.82235943433315,4.027546304310736,1000.0
12754.394204073342,683,3222,28,1,0,0,1,6,210.93675583074463,84.42540152826012,5.028737001512148,1000.0
36067.76728832144,122,2396,56,1,1,0,3,7,18.58577584371881,95.10690637955136,2.982401530768758,9208.607343647043
39197.99340219135,127,3387,11,1,0,0,3,7,52.54639819811099,86.41311049425406,4.82089539975461,2616.286049217605
22872.372462683714,241,4680,37,2,1,1,2,2,25.860521858609886,99.5,1.8509473653235173,3849.906624865076
31288.97681213762,519,4818,17,1,1,0,1,6,166.0500537201216,97.51924231369314,1.9604361385127518,1000.0
47016.132069194355,486,2809,30,2,1,0,2,3,148.95825759281905,97.72361584172728,3.8975822783194816,1197.3140779689818
41938.766291900865,243,946,84,2,0,1,2,2,16.760822136341133,84.58535369800644,3.7706903615285006,7624.419578116869
32477.901909873468,369,1673,46,2,0,0,3,3,46.0430747098731,83.77761958709421,4.699015660551808,3496.6567126293335
35667.62250007682,834,2924,84,3,1,0,2,7,123.45992228851821,95.26818175743695,3.04329489373645,1936.5498715125934
30851.290093096035,881,3950,23,2,1,0,3,3,347.6322288115029,95.73036953209966,3.854646247364811,1000.0
25337.687058456766,665,3697,41,3,1,0,3,7,114.130047673768,97.99082020483522,2.6264460555298688,1260.542356093046
15306.142591615835,88,2070,79,2,1,1,2,4,21.651355443166562,99.5,1.7703195502298779,15734.168724358515
16182.011291650959,338,2343,95,2,1,1,1,6,36.18641859590195,98.66608732526308,2.43480296005283,5736.990527035611
36227.6800010195,341,893,52,3,1,0,2,6,21.289122418816333,90.64338786958731,3.380959493217833,3156.1812536255275
11260.228736437784,259,1084,69,3,1,0,4,5,40.39495396952265,96.32634999594042,3.941012248237517,6000.895351262818
24085.88020860737,78,3633,49,1,1,0,2,5,36.418174568425854,98.28257455541285,2.7059565868427238,12497.402135156792
20083.87587406554,485,4312,35,1,0,0,2,3,212.0914982173359,87.42225208324841,5.420263625125778,1784.8778513303357
31418.070086145526,925,4958,60,2,0,0,2,5,395.9574403354091,87.08861909444026,5.924478047472673,2184.9041363955002
5589.250546475014,518,3220,80,1,1,0,2,6,87.26393382822664,95.17765530204346,2.60872814738276,3425.9433231764765
45412.44302483212,81,2817,38,1,0,0,4,3,76.8499744569669,77.02194592885188,3.9608116725405287,11108.07502288461
30183.814908869805,880,3435,38,3,1,0,2,3,360.7417289428036,99.5,3.242657998280227,1000.0
34651.577385956814,882,4508,76,3,1,0,2,1,205.59640872805883,96.46812368368376,2.824659236060606,1608.747983293499
15942.748594975434,127,1411,55,3,1,1,2,5,10.0,97.29840134443857,2.165159534121308,8230.28054433322
36677.576081232924,946,3694,11,3,1,0,1,5,446.58467099936524,88.49036693887743,3.1055087336013094,1000.0
39362.26073718924,329,4788,83,2,1,1,4,1,76.95994212372646,91.64798731359393,2.308694904860163,3940.948436449651
23976.677054897682,715,541,38,1,1,1,2,2,206.66247126264105,99.5,2.9054751331659716,1000.0
9796.042855790347,391,4152,36,1,0,1,2,4,116.53064810341765,96.89387692799124,3.8383673553519717,2643.1442046418906
39691.01196789217,607,4325,63,3,0,0,3,2,154.7444769886343,84.62615865596959,5.3740173629808625,3345.213986616576
47718.805867599454,104,2811,31,1,1,0,3,4,27.067437754342674,94.15815195150556,2.7599387051018534,7110.772892405878
20497.267941990496,345,1340,70,3,1,0,3,3,25.867371938367647,93.02330473407139,3.1087539528467807,5030.906656906596
8901.734533798262,641,315,92,3,1,1,2,6,46.11664207053676,99.5,1.3745018345090765,3886.4520720133005
19078.46854275144,384,728,16,1,0,0,3,7,117.69513041442671,87.37494744376838,4.9665618377613665,1000.0
28509.555923202603,664,1282,33,3,1,0,3,5,158.25824895274903,98.89453312350409,3.6669298098803575,1152.8834364290262
29228.06706713544,970,2869,42,1,1,0,3,3,264.80976388291265,98.19644112519606,3.611585475295729,1000.0
23086.8911124159,294,4943,66,3,1,0,3,7,60.776655192212985,95.50542847824495,2.069325548161588,4339.926630062746
43376.98197613556,195,4488,34,1,1,0,3,1,26.862298959690552,94.17462804095878,2.675724071970315,3888.108153199571
31484.940303796044,856,1563,72,2,1,1,2,1,145.41293486675124,99.5,1.9358942369524446,1263.4487079495002
6652.9371841976135,555,3945,14,1,1,0,1,3,262.58962354983737,99.5,2.0845923129031574,2088.1903405365842
49835.10991130259,52,4355,22,1,1,0,2,5,26.98658332829427,93.83689532019204,3.271749551394671,9003.343288491196
29788.581677411268,275,1083,88,2,0,1,2,2,23.76854195607494,90.67136385491669,2.259595585619958,6764.8883789282445
31658.35030967829,747,1691,49,2,1,1,1,6,133.6091623981257,99.5,1.41555186712914,1000.0
46854.06577293824,405,4386,36,2,0,1,1,2,147.17139473256083,89.71573987926479,3.729050437805726,2319.4455229683867
