warehouse_size,daily_orders,item_types,workers,shift_type,wms_implemented,agv_implemented,season,day_of_week,temperature_control,ceiling_height,loading_dock_count,warehouse_age,average_item_weight,fragile_items_ratio,inventory_turnover,conveyor_belt_ratio,voice_picking,barcode_scanner_quality,average_employee_experience,employee_turnover_rate,temp_worker_ratio,batch_picking_enabled,quality_check_level,order_complexity_score,processing_time,picking_accuracy,error_rate,labor_cost_per_order
25638.35186,965,1816,95,3,0,1,4,6,0,7.636424705,6,1,3.700293822,0.091272673,11.44561577,0.129583506,0,2,32.91215563,37.99026802,0.018666265,1,3,0.531387665,940.3493379,87.67969327,2.489215757,3500
18645.83925,355,722,22,1,0,0,4,2,0,7.871474966,5,18,2.222194301,0.232539847,18.91098095,0.268448205,0,3,44.45450376,32.85785382,0.22817759,1,5,0.491689751,383.8825294,80.60243996,2.291337974,3500
23518.19221,270,2132,14,3,1,0,3,2,0,13.76793083,6,1,3.354151283,0.019067505,7.597681791,0.260146658,1,4,53.57112633,43.05504476,0.047837698,1,1,0.126641651,262.8866531,94.57744571,1.856389581,3500
23209.40299,507,649,27,3,1,0,1,6,0,7.965963935,6,11,3.186701794,0.097303506,4.197583185,0.28503827,1,3,15.99230426,39.8975452,0.327205906,1,3,0.781201849,317.9447245,90.15049729,2.930681335,3500
7662.564094,162,95,7,2,1,0,2,5,0,14.87085409,4,4,1.653922672,0.024255998,8.653780209,0.193727951,1,3,39.04143234,54.34707975,0.214309874,0,1,1.705263158,96.67369227,87.23522726,3.894412799,3500
24772.61215,279,1524,14,2,0,0,4,1,0,8.347462573,5,16,0.519552881,0.289625805,12.04928216,0.264790903,0,4,22.32469809,34.44467022,0.290382272,1,1,0.183070866,388.2418052,83.67317139,7.340602225,3500
23156.33771,185,279,12,2,1,0,1,4,0,12.69753471,7,17,4.759223522,0.092418238,11.76572415,0.407051261,0,4,16.90740967,78.11073883,0.15723909,1,3,0.663082437,157.037072,90.22332317,1.677487689,3500
8199.775226,344,2070,15,2,1,0,1,5,0,8.416273712,4,18,0.34805886,0.167040379,18.85078593,0.556823837,0,4,38.05541192,79.30376951,0.056033606,1,2,0.166183575,449.3568591,90.34103602,2.109720495,3500
11068.45823,163,547,12,2,0,0,2,5,1,13.74364156,3,20,8.168444273,0.01165042,7.458779264,0.161124728,0,2,32.76786582,63.89954872,0.086328411,1,4,0.297989031,216.591545,84.84435258,1.679506571,3500
10399.68091,166,370,14,2,0,1,3,2,0,6.844859611,3,8,0.873887164,0.280384199,13.48887069,0.155008877,0,4,27.83335522,61.10275216,0.019086451,1,3,0.448648649,111.1437283,94.30968831,1.652728876,3500
16050.01895,416,1896,27,1,0,0,1,4,0,14.46207217,5,3,3.413678811,0.192986466,10.24855203,0.163685037,0,2,38.6785612,67.42987906,0.260593909,0,5,0.219409283,669.2660365,84.11967842,2.144004958,3500
14895.36209,275,1547,15,3,0,0,1,3,2,9.713559092,4,17,2.624922331,0.232923888,8.134463725,0.279227198,0,2,16.60002101,57.58913459,0.295963504,0,1,0.177763413,641.6890274,95.56927454,3.434628634,3500
24331.04771,868,1473,64,2,1,1,3,5,2,14.76823388,6,5,9.157416986,0.221110667,11.82648386,0.564665187,1,3,46.40610601,53.27526443,0.04044907,0,5,0.589273591,1243.40176,96.15650818,2.138844324,3500
12013.86669,348,1237,36,3,1,1,3,1,0,8.137558242,3,17,0.356320064,0.024867397,11.51066218,0.349068665,1,3,58.28309312,13.02119384,0.356457245,1,3,0.281325788,223.8820423,98,2.831840114,3500
12208.31979,373,1189,26,2,1,0,1,1,0,11.42503694,3,13,0.565369455,0.273278155,16.80567037,0.759839931,1,5,55.39306345,15.7923894,0.350664594,1,5,0.313708999,285.7126135,93.63824741,3.180271111,3500
18942.6869,830,2448,33,3,1,1,1,5,0,7.162434736,6,13,1.711866807,0.18185239,6.115570499,0.537360548,0,5,9.472782755,57.01012369,0.20812308,1,3,0.339052288,1711.546048,92.08091979,3.309172235,3500
20548.08421,781,1686,87,2,1,0,2,3,0,13.16824598,6,24,6.520033404,0.252627425,15.84051934,0.052988782,0,4,31.07923136,33.01261272,0.253360342,0,3,0.463226572,1065.686619,98,3.070591156,3500
20441.83646,1200,1825,91,2,0,0,1,1,0,14.04795537,5,14,3.804749803,0.099029854,7.788489764,0.027687176,0,4,38.7903222,15.72313224,0.34943145,1,5,0.657534247,1911.666952,80.19208357,2.992703519,3500
22016.17618,1200,233,123,3,1,0,2,2,0,9.574474493,5,23,0.880197016,0.113185249,2.36128156,0.257663332,0,4,33.51412715,26.32514881,0.137170746,1,2,5.150214592,651.1493877,98,3.919518628,3500
40189.19754,801,1100,23,1,0,0,4,6,0,8.565856518,11,24,2.586680489,0.269029627,3.444207422,0.157353417,0,2,58.99558116,17.84272315,0.15914224,1,4,0.728181818,2497.420099,83.66848879,4.318980582,3500
16124.43913,902,2147,82,3,1,0,2,3,2,8.885779729,6,1,6.470132132,0.110769144,10.1768235,0.438882494,0,4,21.37416916,66.69121121,0.101856262,1,1,0.420121099,1799.123352,89.57229045,4.328023649,3500
15510.6874,457,2178,57,3,1,1,1,5,0,11.70382707,5,4,2.454279958,0.094858975,12.58952016,0.546385651,0,4,54.28104438,53.68710809,0.215912425,1,1,0.209825528,352.8056356,94.51058081,2.708945248,3500
32417.33393,1200,497,105,1,1,1,3,2,0,13.39131574,9,15,0.831214778,0.253935688,4.294795922,0.317829832,1,3,30.72237647,38.6268624,0.308752792,0,3,2.414486922,769.9604597,98,2.685609479,3500
48755.30845,1200,2136,150,2,1,1,2,3,0,7.019142413,10,14,4.837199981,0.055896264,17.0748342,0.26571713,0,5,36.70269984,37.93018927,0.021904656,0,4,0.561797753,1326.982679,98,2.074138902,3500
25319.53738,227,109,14,2,0,0,1,4,0,11.01574832,7,8,3.403179321,0.150658503,12.71693031,0.020122943,0,4,27.3269676,65.98474155,0.1397548,1,1,2.082568807,193.9705549,80.73719984,1.927106156,3500
5313.482027,183,841,18,3,0,0,2,2,0,6.228477201,3,7,1.34466241,0.197677183,2.487727865,0.066591649,0,4,41.29788639,11.37973764,0.041643433,1,3,0.217598098,148.88295,87.28976814,5.38763783,3500
8577.12852,84,443,5,3,1,0,3,2,1,9.26753291,4,12,3.306889191,0.249196352,8.213458608,0.619067619,0,3,19.78454829,76.39173149,0.305442318,0,2,0.189616253,124.2758344,91.20713957,3.253679136,3500
27232.93751,468,440,24,3,1,1,1,6,0,9.647232792,7,12,4.141840688,0.061926382,2.197924916,0.109508504,1,4,44.73452097,27.55114624,0.253239225,1,2,1.063636364,256.8830357,98,1.604152027,3500
56621.54701,1200,2211,91,2,1,0,2,2,0,6.676240036,12,1,1.817765231,0.148647395,14.39124314,0.347861871,0,5,7.432624613,10.16375734,0.387079755,0,4,0.542740841,1164.256413,87.21541003,3.703477513,3500
24187.38458,1200,1993,55,2,0,1,1,2,0,12.35017655,7,17,2.735606885,0.054172604,12.22301415,0.274646489,0,3,9.869786991,61.171657,0.077039611,0,3,0.602107376,2537.347983,90.43319328,2.475553049,3500
16094.6056,190,1073,13,2,1,1,1,5,0,13.97379973,5,12,1.836731763,0.069887842,2.439214068,0.696079099,0,5,13.57195585,36.87747229,0.373035964,0,4,0.177073625,193.0645576,89.21887973,1.792623235,3500
25103.6691,1030,867,35,3,1,0,4,6,2,13.9577908,8,13,1.322998579,0.296755473,15.38035081,0.051989128,0,3,40.02985899,52.54157564,0.205075404,0,2,1.188004614,1937.768611,93.52351742,3.238324226,3500
8552.543047,275,1106,10,2,1,0,4,6,1,10.11688888,4,9,3.512499597,0.013312999,17.3394836,0.028337895,0,3,34.39887012,16.08907319,0.163381285,0,3,0.248643761,441.8295708,98,1.22921318,3500
36545.0707,963,2050,61,3,1,1,3,1,0,8.148210282,8,10,1.236848148,0.031750228,14.58183328,0.151377232,1,3,52.69508108,12.04730981,0.3303267,0,3,0.469756098,738.5947598,93.48780739,1.590915689,3500
36195.18068,863,579,36,3,1,0,4,6,1,10.262165,9,24,2.443507347,0.01372261,17.68766251,0.778791175,1,5,10.41491569,63.07842372,0.009834767,0,3,1.490500864,1282.973513,88.78843386,1.853836987,3500
7943.437025,150,883,7,3,1,0,3,4,0,13.81760851,2,8,1.309490621,0.231276553,17.20609811,0.608819193,0,3,54.97465399,77.72578845,0.07418355,1,1,0.169875425,140.4015776,92.38292711,3.81475438,3500
53364.38578,1200,2925,73,3,1,0,3,1,0,14.87996334,13,16,2.98520276,0.144706914,5.786292439,0.276813254,1,4,21.60829457,46.23981504,0.0351466,0,1,0.41025641,1958.468619,95.8131751,3.606839278,3500
22220.52169,973,1858,93,2,1,0,4,4,0,13.05449298,7,3,2.579220875,0.012226232,4.951990658,0.350885773,1,5,40.06676859,43.549525,0.246296809,0,4,0.523681378,1394.623735,92.00999406,2.290020665,3500
10083.32615,231,416,12,2,1,1,4,2,1,11.20807868,4,21,1.323397117,0.118654551,12.91139684,0.478178852,1,5,18.77918444,51.464523,0.364945338,0,5,0.555288462,203.7093347,95.60519045,0.5,3500
14194.62654,554,970,50,2,0,0,2,3,0,8.978004267,3,10,5.641157348,0.20081712,4.623618228,0.134830151,0,4,57.06925123,27.67694475,0.143700299,0,3,0.571134021,772.0953871,88.79231203,3.668080554,3500
33477.51437,654,380,52,3,0,0,2,5,2,8.845404945,7,19,0.951196359,0.012471858,4.670177617,0.295989037,0,4,3.281578913,76.62682498,0.255647975,1,3,1.721052632,926.1959477,81.55102745,2.801235696,3500
22966.04567,512,2611,54,3,1,0,1,2,1,11.13548772,7,8,2.451121097,0.238653112,18.53620035,0.480487634,1,4,25.45027112,55.58630839,0.042637212,1,2,0.196093451,721.8878873,94.81139866,3.465199686,3500
16670.33899,914,1158,51,2,1,0,3,4,0,11.36836927,4,3,4.185171642,0.068180888,3.317526628,0.482758875,0,4,46.28262669,45.03117164,0.216945466,1,2,0.789291883,1053.685093,91.25477211,3.352688005,3500
26926.45995,1200,103,100,3,0,1,2,3,0,10.37284583,6,20,2.256167605,0.20102881,18.73290579,0.159678064,0,3,37.78902565,60.1305472,0.1090496,1,1,11.65048544,744.9860133,86.25063654,2.936097113,3500
