warehouse_area_m2,daily_throughput,total_equipment_count,workers,shift_type,conveyor_count,rtv_agv_count,srm_count,robot_arm_count,rack_count,wms_implemented,agv_implemented,automation_level,season,day_of_week,equipment_age_years,condition_factor,conveyor_utilization,rtv_utilization,srm_utilization,robot_utilization,avg_conveyor_time,avg_rtv_time,avg_srm_time,avg_robot_time,equipment_efficiency,maintenance_frequency,processing_time_seconds,picking_accuracy_percent,error_rate_percent,labor_cost_per_order_krw
15000,30202,55,47,3,22,18,12,3,30,0,1,4,3,3,3,0.94,0.31,0.691,0.833,0.285,3.91,7.1,5.83,3.1,94.0,1.5,5.0,98.0,0.7,85000
10000,18010,85,70,1,34,23,24,4,20,1,1,5,3,5,7,0.86,0.307,0.683,0.725,0.354,3.08,7.39,5.45,3.73,86.0,3.5,6.11,98.0,0.68,85000
15000,38403,32,29,2,17,7,6,2,30,1,0,3,4,6,12,0.76,0.77,0.668,0.739,0.569,3.44,7.18,4.27,2.3,76.0,6.0,5.45,93.1,1.83,85000
10000,26094,80,51,3,32,18,24,6,20,1,1,5,1,1,11,0.78,0.399,0.613,0.816,0.442,7.63,9.91,9.49,4.4,78.0,5.5,11.28,97.8,1.04,85000
15000,30504,23,26,1,7,5,10,1,30,0,0,2,3,5,5,0.9,0.581,0.631,0.698,0.409,5.14,6.15,4.65,1.13,90.0,2.5,5.0,91.5,1.8,85000
30000,19407,58,42,3,21,18,18,1,60,1,0,4,3,3,13,0.74,0.448,0.432,0.683,0.287,5.08,11.3,5.95,1.49,74.0,6.5,9.91,93.0,1.74,85000
10000,5064,71,42,3,34,18,16,3,20,1,1,4,1,6,12,0.76,0.422,0.45,0.588,0.423,5.02,6.39,5.52,1.99,76.0,6.0,14.19,96.0,1.3,85000
15000,15657,73,71,2,41,16,14,2,30,1,0,5,2,5,4,0.92,0.34,0.511,0.597,0.521,5.35,11.9,6.39,4.27,92.0,2.0,7.37,98.0,0.52,85000
5000,4641,94,94,3,48,12,29,5,10,1,1,5,2,3,7,0.86,0.387,0.607,0.655,0.575,3.69,8.05,4.68,4.7,86.0,3.5,7.81,98.0,0.68,85000
5000,3019,30,21,1,10,8,9,3,10,0,0,3,3,3,1,0.98,0.621,0.425,0.565,0.559,6.03,6.06,4.61,3.65,98.0,0.5,5.0,96.3,0.86,85000
5000,4567,28,20,1,11,9,7,1,10,1,1,3,4,1,8,0.84,0.725,0.597,0.727,0.237,4.84,7.59,5.46,4.89,84.0,4.0,5.6,97.9,1.11,85000
10000,19044,63,59,1,20,14,25,4,20,0,1,5,4,1,14,0.72,0.757,0.511,0.506,0.571,5.14,11.8,9.78,4.41,72.0,7.0,6.9,92.8,1.87,85000
5000,2629,76,63,2,22,25,27,2,10,1,1,5,2,3,15,0.7,0.795,0.442,0.707,0.551,6.7,10.18,8.21,2.44,70.0,7.5,13.47,97.7,1.4,85000
5000,7493,20,12,2,8,6,6,0,10,0,0,2,4,6,2,0.96,0.347,0.573,0.514,0.386,5.71,7.72,7.54,1.12,96.0,1.0,5.0,93.6,1.32,85000
30000,44038,34,25,1,20,8,5,1,60,0,1,3,3,4,15,0.7,0.65,0.442,0.553,0.588,6.57,6.25,6.39,2.73,70.0,7.5,9.03,87.9,2.48,85000
10000,6806,63,46,2,40,10,10,3,20,1,1,5,4,1,16,0.6799999999999999,0.558,0.597,0.674,0.492,3.24,9.4,4.95,1.48,68.0,8.0,8.41,94.0,1.49,85000
15000,12244,37,33,3,13,8,14,2,30,1,0,3,4,1,10,0.8,0.775,0.666,0.604,0.206,7.67,9.01,7.24,3.74,80.0,5.0,6.09,94.8,1.61,85000
30000,55852,95,93,1,43,21,27,4,60,1,1,5,1,3,1,0.98,0.781,0.672,0.578,0.228,3.5,6.11,4.57,3.73,98.0,0.5,6.58,98.0,0.5,85000
10000,10726,37,37,1,12,12,11,2,20,1,1,3,3,5,4,0.92,0.389,0.625,0.823,0.596,5.06,8.23,8.66,2.36,92.0,2.0,6.19,98.0,0.75,85000
5000,11151,85,56,1,44,15,22,4,10,1,1,5,1,3,14,0.72,0.638,0.545,0.697,0.233,3.46,9.61,7.32,1.85,72.0,7.0,13.51,98.0,1.31,85000
15000,12547,34,31,3,16,8,7,3,30,1,0,3,2,7,12,0.76,0.733,0.652,0.67,0.289,4.98,11.35,4.88,3.05,76.0,6.0,11.14,93.2,1.83,85000
10000,20252,49,50,3,27,9,11,2,20,1,1,4,1,4,19,0.62,0.356,0.548,0.505,0.387,3.28,6.71,4.71,3.6,62.0,9.5,15.13,92.1,1.93,85000
10000,21121,23,27,1,13,2,8,0,20,1,0,2,4,5,11,0.78,0.76,0.476,0.778,0.23,3.83,7.3,5.77,4.98,78.0,5.5,5.53,91.5,1.93,85000
15000,30108,68,54,2,27,15,21,5,30,1,1,5,4,4,18,0.64,0.433,0.508,0.604,0.381,3.16,7.68,6.47,3.41,64.0,9.0,9.78,92.5,1.67,85000
15000,16935,44,51,2,19,14,9,2,30,1,1,4,3,5,1,0.98,0.54,0.696,0.651,0.5,4.96,10.97,7.41,1.25,98.0,0.5,5.0,98.0,0.5,85000
15000,9968,31,26,2,19,6,5,1,30,1,1,3,1,3,1,0.98,0.636,0.585,0.643,0.245,6.36,9.12,8.63,3.08,98.0,0.5,7.73,98.0,0.5,85000
5000,7518,24,25,2,5,8,9,2,10,1,1,2,2,3,2,0.96,0.475,0.577,0.657,0.375,7.52,8.09,7.08,4.13,96.0,1.0,6.77,98.0,0.74,85000
30000,17707,30,35,1,10,7,12,1,60,1,0,3,2,5,11,0.78,0.338,0.439,0.551,0.261,3.69,9.85,5.09,2.38,78.0,5.5,8.73,94.0,1.72,85000
15000,33201,36,25,2,22,6,7,1,30,1,1,3,1,6,9,0.8200000000000001,0.478,0.668,0.551,0.332,4.61,6.55,6.89,3.75,82.0,4.5,9.57,94.8,1.2,85000
