warehouse_area_m2,daily_throughput,total_equipment_count,workers,shift_type,conveyor_count,rtv_agv_count,srm_count,robot_arm_count,rack_count,wms_implemented,agv_implemented,automation_level,season,day_of_week,equipment_age_years,condition_factor,conveyor_utilization,rtv_utilization,srm_utilization,robot_utilization,avg_conveyor_time,avg_rtv_time,avg_srm_time,avg_robot_time,equipment_efficiency,maintenance_frequency,processing_time_seconds,picking_accuracy_percent,error_rate_percent,labor_cost_per_order_krw
15000,16026,53,40,3,29,7,14,3,30,1,1,4,2,4,18,0.64,0.305,0.519,0.865,0.358,5.7,10.11,7.89,2.52,64,9,15.83,86.4,3.28,80000
15000,23893,28,21,2,15,8,4,1,30,1,1,2,3,1,19,0.62,0.551,0.691,0.573,0.423,7.06,10.26,9.87,1,62,9.5,8.58,81.7,4.04,80000
15000,12097,50,37,3,15,15,17,3,30,1,1,4,2,2,6,0.88,0.437,0.53,0.503,0.224,6.14,6.9,9.91,1.14,88,3,8.9,94.8,1.36,80000
30000,52467,51,37,3,20,11,16,4,60,1,1,4,3,1,19,0.62,0.757,0.473,0.614,0.222,7.43,6.51,6.19,2.14,62,9.5,7.49,85.7,3.44,80000
5000,7225,24,17,2,14,4,4,2,10,0,0,2,3,6,3,0.94,0.379,0.518,0.752,0.268,7.57,10,9.77,4.59,94,1.5,5,92.9,1.48,80000
30000,61184,53,39,1,21,18,10,4,60,1,1,4,3,3,4,0.92,0.787,0.55,0.721,0.311,5.12,10.8,7.81,2.65,92,2,5,96.2,1.04,80000
5000,10008,34,25,3,14,7,11,2,10,1,1,3,4,4,3,0.94,0.49,0.481,0.759,0.478,5.35,9.33,7.3,2.97,94,1.5,5,94.9,1.18,80000
15000,9030,37,27,1,11,12,11,3,30,0,1,3,1,5,10,0.8,0.416,0.561,0.86,0.26,6.04,7.09,8.7,1.36,80,5,15.14,90,2.3,80000
15000,10308,51,38,3,20,13,15,3,30,1,1,4,1,6,16,0.68,0.423,0.653,0.63,0.323,6.5,8.41,4.04,1.7,68,8,23.88,87.8,2.96,80000
30000,76647,39,30,2,17,11,10,1,60,1,1,3,4,5,1,0.98,0.552,0.478,0.669,0.411,6.78,6.39,7.55,3.93,98,0.5,5,96.3,0.86,80000
30000,19960,54,41,1,24,15,13,2,60,1,1,4,1,6,10,0.8,0.62,0.513,0.752,0.468,4.01,9.34,8.96,1.1,80,5,12.74,92,2,80000
10000,6825,36,28,2,20,10,5,1,20,1,0,3,1,7,1,0.98,0.668,0.507,0.806,0.449,5.25,8.85,5.6,3.91,98,0.5,10.62,96.3,0.86,80000
10000,23136,52,40,1,24,11,15,2,20,1,1,3,4,2,11,0.78,0.62,0.642,0.769,0.322,3.09,10.04,6.28,4.75,78,5.5,5,89.3,2.46,80000
10000,5140,37,28,2,16,5,14,2,20,1,0,3,1,4,15,0.7,0.536,0.684,0.599,0.327,5.32,7.64,8.51,1.23,70,7.5,20.42,86.5,3.1,80000
5000,9652,47,36,3,24,10,12,1,10,1,1,3,3,5,7,0.86,0.537,0.524,0.746,0.209,7.41,6.69,4.4,2.74,86,3.5,5.21,92.1,1.82,80000
10000,10275,67,51,1,33,20,11,3,20,1,0,5,2,3,8,0.84,0.573,0.677,0.659,0.331,6.03,7.8,4.71,1.63,84,4,6.41,95.4,1.38,80000
30000,15570,79,60,2,42,22,11,4,60,1,0,5,1,5,3,0.94,0.349,0.655,0.714,0.53,3.34,9.13,5.11,4.02,94,1.5,9.22,98,0.58,80000
5000,10520,34,25,2,16,4,12,2,10,1,0,3,3,6,6,0.88,0.455,0.563,0.698,0.314,7.33,11.06,7.41,3.74,88,3,5,92.8,1.66,80000
5000,5068,24,19,3,15,4,5,0,10,0,1,2,2,4,17,0.66,0.713,0.401,0.713,0.293,6.43,11.95,7.22,1.03,66,8.5,15.27,83.1,3.72,80000
15000,8308,36,27,1,10,10,14,2,30,0,1,3,1,5,3,0.94,0.371,0.665,0.574,0.446,7.86,10.99,8.28,2.59,94,1.5,10.43,94.9,1.18,80000
5000,9919,18,13,1,5,2,10,1,10,1,0,2,4,3,8,0.84,0.413,0.555,0.525,0.532,6.96,10.71,4.27,3.2,84,4,5,89.4,2.28,80000
10000,20274,82,62,3,43,19,16,4,20,1,0,5,4,6,4,0.92,0.698,0.62,0.58,0.275,5.69,9.91,9.06,2.67,92,2,5,98,0.74,80000
30000,32214,60,45,2,23,14,20,3,60,1,1,4,2,5,3,0.94,0.741,0.437,0.53,0.288,7.15,10.03,7.12,3.83,94,1.5,6.04,96.9,0.88,80000
10000,14734,64,48,2,34,18,9,3,20,0,1,4,3,2,9,0.82,0.759,0.532,0.895,0.47,7.44,10.54,8.66,2.11,82,4.5,5.61,92.7,1.84,80000
15000,9949,21,15,3,5,8,6,2,30,0,0,2,1,4,11,0.78,0.709,0.408,0.777,0.519,7.21,11.87,7.66,1.98,78,5.5,18.69,87.3,2.76,80000
10000,21049,87,68,1,50,15,20,2,20,1,1,5,3,6,14,0.72,0.569,0.675,0.808,0.334,6.75,6.64,9.52,3.87,72,7,5.59,91.2,2.34,80000
10000,6395,28,20,1,10,6,10,2,20,0,0,2,1,7,9,0.82,0.64,0.414,0.684,0.414,4.55,10.48,7.44,1.66,82,4.5,15.99,88.7,2.44,80000
30000,35775,19,13,3,6,2,9,2,60,0,1,2,2,5,15,0.7,0.516,0.626,0.635,0.356,6.63,8.6,7.34,3.26,70,7.5,12.8,84.5,3.4,80000
5000,11261,37,28,2,21,4,11,1,10,0,0,3,4,7,7,0.86,0.61,0.53,0.735,0.237,4.77,10.01,9.91,1.09,86,3.5,5,92.1,1.82,80000
30000,67783,44,34,2,20,10,13,1,60,1,0,3,4,3,2,0.96,0.788,0.415,0.695,0.233,3.22,11.93,9.68,1.72,96,1,5,95.6,1.02,80000
10000,7180,23,18,1,9,6,8,0,20,0,1,2,1,4,13,0.74,0.532,0.541,0.627,0.344,6.33,10.1,5.3,2.82,74,6.5,13.67,85.9,3.08,80000
10000,5663,91,69,1,49,22,16,4,20,1,1,5,1,1,6,0.88,0.599,0.566,0.819,0.415,6.43,8.22,8.42,1.07,88,3,13.57,96.8,1.06,80000
10000,20342,66,50,1,24,19,20,3,20,1,1,5,4,6,17,0.66,0.538,0.479,0.774,0.553,7.72,6.45,5.92,4.17,66,8.5,5.22,89.1,2.82,80000
5000,8950,68,51,2,32,19,13,4,10,1,1,5,4,1,14,0.72,0.748,0.619,0.775,0.291,7.93,8.28,6.14,1.22,72,7,5.24,91.2,2.34,80000
30000,20159,27,20,2,13,8,5,1,60,1,1,3,1,6,18,0.64,0.562,0.542,0.864,0.229,6.61,6.82,9.06,4.05,64,9,25.9,84.4,3.58,80000
10000,8621,75,56,2,34,23,14,4,20,1,0,5,2,4,19,0.62,0.311,0.623,0.865,0.234,5.96,8.84,4.09,2.21,62,9.5,14.6,87.7,3.14,80000
5000,2460,41,32,1,15,14,11,1,10,1,0,4,1,3,18,0.64,0.592,0.567,0.868,0.442,6.84,10.47,4.91,4.38,64,9,22.09,86.4,3.28,80000
15000,8167,20,14,3,8,4,6,2,30,0,0,2,1,4,13,0.74,0.796,0.61,0.583,0.486,7.98,10.67,5.66,1.35,74,6.5,16.14,85.9,3.08,80000
10000,24617,32,24,1,11,5,15,1,20,1,0,3,4,5,8,0.84,0.56,0.691,0.68,0.236,5,6.06,4.73,2.21,84,4,5,91.4,1.98,80000
5000,10268,53,37,1,26,11,10,6,10,0,1,5,4,6,4,0.92,0.765,0.421,0.632,0.593,6.13,7.75,8.94,2.44,92,2,5,98,0.74,80000
5000,4636,41,32,1,20,12,8,1,10,1,1,3,2,4,3,0.94,0.408,0.664,0.64,0.375,5.29,6.72,7.54,1.71,94,1.5,7.4,94.9,1.18,80000
5000,11499,54,40,3,25,12,14,3,10,0,0,3,4,1,19,0.62,0.787,0.403,0.569,0.482,5.47,6.97,6.37,4.23,62,9.5,6.98,83.7,3.74,80000
5000,9341,27,20,3,13,7,6,1,10,0,1,3,4,1,11,0.78,0.361,0.481,0.665,0.222,3.73,8.77,7.72,1.24,78,5.5,5,89.3,2.46,80000
15000,16384,31,24,2,19,5,6,1,30,1,1,3,2,7,6,0.88,0.644,0.464,0.607,0.271,4.51,8.64,6.78,3.53,88,3,6.89,92.8,1.66,80000
10000,20908,71,54,1,44,11,13,3,20,1,1,5,4,7,10,0.8,0.378,0.679,0.621,0.373,4.74,9.65,5.48,3.78,80,5,5,94,1.7,80000
10000,4865,25,20,1,8,6,11,0,20,1,0,2,1,1,2,0.96,0.492,0.564,0.682,0.337,4.58,6.07,4.76,2.67,96,1,8.89,93.6,1.32,80000
5000,9115,22,16,1,12,5,3,2,10,0,1,2,3,4,18,0.64,0.536,0.545,0.521,0.537,7.42,6.55,8.46,2.95,64,9,7.38,82.4,3.88,80000
30000,33441,75,57,1,25,24,23,3,60,1,1,5,2,7,10,0.8,0.467,0.579,0.692,0.546,6.51,8.69,6.08,3.6,80,5,8.79,94,1.7,80000
10000,19429,45,35,2,19,12,13,1,20,1,1,3,3,5,5,0.9,0.331,0.66,0.636,0.217,3.1,10.36,9.52,2.3,90,2.5,5,93.5,1.5,80000
10000,8317,54,41,1,19,18,15,2,20,1,0,4,2,4,9,0.82,0.376,0.401,0.643,0.397,3.07,9.96,9.62,4.78,82,4.5,9.55,92.7,1.84,80000
30000,15130,17,12,3,5,7,4,1,60,1,0,2,1,7,13,0.74,0.47,0.636,0.788,0.239,3.1,9.63,7.39,3.01,74,6.5,22.79,85.9,3.08,80000
10000,8879,82,63,1,43,25,11,3,20,1,1,5,2,1,19,0.62,0.358,0.63,0.822,0.229,6.81,9.4,4.78,3.85,62,9.5,12.25,87.7,3.14,80000
5000,5898,33,25,2,10,9,13,1,10,0,0,3,2,5,7,0.86,0.345,0.684,0.706,0.336,5.15,9.95,9.53,2.17,86,3.5,8.98,92.1,1.82,80000
10000,5181,63,49,3,30,16,16,1,20,1,0,4,1,5,19,0.62,0.698,0.535,0.534,0.476,3.12,7.26,5.62,1.84,62,9.5,25.15,85.7,3.44,80000
15000,14444,65,49,3,29,16,17,3,30,1,1,5,2,1,1,0.98,0.537,0.58,0.846,0.572,3.86,11.17,9.84,4.8,98,0.5,5.7,98,0.5,80000
30000,34494,58,43,1,23,16,15,4,60,1,1,4,2,3,1,0.98,0.459,0.445,0.577,0.253,7.65,9.87,7.97,3.32,98,0.5,5.24,98,0.56,80000
10000,5641,74,54,3,42,16,10,6,20,1,1,5,1,5,11,0.78,0.751,0.581,0.565,0.4,3.45,11.04,9.97,1.31,78,5.5,18.83,93.3,1.86,80000
5000,11020,39,29,1,24,7,6,2,10,1,1,3,4,7,17,0.66,0.466,0.559,0.71,0.447,4.88,9.86,7.14,2.79,66,8.5,5.98,85.1,3.42,80000
10000,20399,28,20,1,13,8,5,2,20,1,0,3,3,6,4,0.92,0.405,0.674,0.68,0.398,4.55,9.72,5.09,4.77,92,2,5,94.2,1.34,80000
10000,18946,37,28,2,15,6,15,1,20,0,1,3,4,7,13,0.74,0.763,0.639,0.761,0.482,5.95,11.69,6.78,3.52,74,6.5,5.8,87.9,2.78,80000
30000,65961,40,31,2,25,5,9,1,60,0,1,3,4,2,6,0.88,0.319,0.634,0.894,0.244,5.58,9.98,8.57,4.99,88,3,5,92.8,1.66,80000
10000,5556,20,14,1,5,2,11,2,20,0,1,2,1,1,8,0.84,0.758,0.627,0.797,0.374,6.42,10.22,7.1,4.91,84,4,14.56,89.4,2.28,80000
15000,35880,28,20,2,9,5,12,2,30,0,0,2,4,1,5,0.9,0.421,0.5,0.878,0.29,7.86,7.14,8.2,4.31,90,2.5,5,91.5,1.8,80000
15000,16482,93,71,1,42,25,22,4,30,1,1,5,2,6,8,0.84,0.728,0.552,0.834,0.307,3.63,8.49,7.84,1.26,84,4,9.94,95.4,1.38,80000
15000,30921,12,9,2,7,2,3,0,30,0,0,2,3,7,8,0.84,0.311,0.469,0.855,0.51,7.14,9.78,7.89,3.86,84,4,5,89.4,2.28,73200
30000,73448,71,55,3,36,23,10,2,60,1,1,5,4,6,6,0.88,0.35,0.692,0.89,0.255,4.68,9.68,9.32,2.09,88,3,5,96.8,1.06,80000
15000,27734,82,62,2,39,23,16,4,30,1,1,5,3,2,14,0.72,0.356,0.626,0.636,0.597,5.41,7.4,9.01,2.01,72,7,8.02,91.2,2.34,80000
5000,2827,53,40,3,20,20,11,2,10,1,0,5,1,5,10,0.8,0.716,0.688,0.789,0.21,3.95,11.76,8.13,4.9,80,5,13.48,94,1.7,80000
5000,4912,29,23,1,15,8,6,0,10,1,0,2,2,3,17,0.66,0.407,0.483,0.853,0.573,6.73,10.81,6.3,2.54,66,8.5,12.21,83.1,3.72,80000
30000,63519,42,31,3,17,8,14,3,60,0,1,3,4,5,3,0.94,0.338,0.435,0.754,0.382,3.23,11.07,5.15,2.5,94,1.5,5,94.9,1.18,80000
10000,20698,18,13,2,6,6,5,1,20,0,0,2,4,5,2,0.96,0.755,0.563,0.52,0.384,5.91,7.53,7.67,1.56,96,1,5,93.6,1.32,80000
10000,19135,83,63,3,44,24,11,4,20,0,1,5,3,2,15,0.7,0.312,0.565,0.843,0.4,3.27,10.44,8.4,3.54,70,7.5,6.94,90.5,2.5,80000
10000,19855,49,37,3,21,8,18,2,20,1,1,4,3,4,3,0.94,0.372,0.675,0.54,0.242,7.51,9.07,9.57,4.98,94,1.5,5,96.9,0.88,80000
15000,22354,63,48,1,27,11,22,3,30,1,1,5,3,1,10,0.8,0.542,0.474,0.845,0.339,6.28,10.44,9.14,3.23,80,5,5.14,94,1.7,80000
10000,22881,61,46,2,26,15,17,3,20,1,1,4,4,2,1,0.98,0.381,0.431,0.648,0.221,5.38,6.97,8.82,1.28,98,0.5,5,98,0.56,80000
5000,10172,48,37,3,16,11,20,1,10,1,1,4,3,2,7,0.86,0.423,0.469,0.799,0.231,7.84,6.69,7.6,4.12,86,3.5,5,94.1,1.52,80000
15000,17228,61,47,2,24,22,13,2,30,1,0,5,2,1,18,0.64,0.441,0.636,0.868,0.597,4.42,8.04,6.69,4.82,64,9,14.02,88.4,2.98,80000
5000,10186,21,15,3,8,6,5,2,10,1,0,2,3,2,1,0.98,0.379,0.595,0.67,0.34,4.08,9.17,5.26,2,98,0.5,5,94.3,1.16,80000
15000,23890,77,60,3,40,21,14,2,30,1,1,5,3,2,9,0.82,0.571,0.634,0.645,0.418,4.65,6.03,7.21,4.34,82,4.5,5,94.7,1.54,80000
5000,10436,36,26,1,12,12,9,3,10,1,0,3,3,3,4,0.92,0.769,0.681,0.528,0.438,3.92,8.65,4.34,1.63,92,2,5,94.2,1.34,80000
15000,8474,27,20,3,14,8,3,2,30,0,0,2,1,5,15,0.7,0.353,0.504,0.767,0.593,3.17,9.97,5.1,1.41,70,7.5,19.51,84.5,3.4,80000
10000,25218,28,20,2,14,8,4,2,20,0,0,2,4,3,1,0.98,0.409,0.403,0.884,0.252,7.81,10.26,9.92,4.45,98,0.5,5,94.3,1.16,80000
10000,10687,19,13,3,6,3,8,2,20,0,0,2,2,4,4,0.92,0.51,0.633,0.879,0.54,6.63,10.3,9.78,1.77,92,2,6.4,92.2,1.64,80000
15000,27267,39,30,2,21,6,11,1,30,1,1,3,3,7,9,0.82,0.409,0.508,0.863,0.596,5.3,8.7,8.91,3.26,82,4.5,5.86,90.7,2.14,80000
5000,10282,47,35,1,23,9,12,3,10,0,1,3,3,7,1,0.98,0.548,0.619,0.653,0.577,5.49,6.38,5.05,4.29,98,0.5,5,96.3,0.86,80000
15000,26987,37,28,2,20,5,11,1,30,1,0,3,3,7,5,0.9,0.392,0.645,0.863,0.304,6.66,8.43,6.44,1.41,90,2.5,5,93.5,1.5,80000
